id	title	title_source	title_uri	ccodes	fclasses	types	lat	lon	geowkt	start	end	links	description	approximation
id_04460	Conchas			BR	H	Rio	-5.987300	-36.090200		1786	1789		Otro río hay del mismo nombre en la Provincia y Capitanía del río Grande en el Brasil : es pequeño; nace cerca de la Costa, y sale a la boca del de Amargoso .	geo:sfWithin
id_04461	Conchas			MX	H	Rio	25.347500	-105.509400		1786	1789		Otro del Reyno de Nueva España , que sale al mar en el Seno Mexicano , unido con el Bravo .	geo:sfWithin
id_04462	Conchas			AR	H	Rio	-34.004900	-59.428800		1786	1789		Otro río pequeño de la Provincia y Gobierno de Buenos-Ayres , distinto del que hemos dicho: corre al O, y entra en el Paraná junto al Pueblo de la baxada de Santa Fe .	geo:sfWithin
id_04463	San Francisco de los Conchos			MX	P	Pueblo Presidio	27.584800	-105.332600		1786	1789	indias:9900763	Pueblo y Presidio de la Provincia de Tepeguana y Reyno de Nueva Vizcaya , situado a las riberas del río de su nom bre, cerca de donde se le junta el río Florido : tiene de guarnición un Capitán, un Teniente, un Sargento y 33 Soldados para contener las irrupciones de los Indios Infieles: en su inmediación están las haciendas de la Ciénega , Sapian y el Pilar : dista de la Capital Guadalaxara 58 leguas al NNE.	crm:P189_approximates
id_04464	Conchucos			PE	A	Provincia	-8.862300	-77.453100		1786	1789	indias:JUPETACO	Provincia y Corregimiento del Perú: confina por el N con la de Huamachucos , por el NE con la de Pataz , intermediando el río Marañon , por el E y SE con la de Huamalies , y por el S con la de Caxatambo : tiene de largo 52 leguas y 20 de anchó por algunas partes: es de figura muy irregular y de temperamento vario, según la diferencia de los terrenos; frío en todo lo que es la Cordillera, y templado en lo demás, y en algunas partes excesivamente cálido: es muy amena y fértil en todas frutas que p...	crm:P189_approximates
id_04465	Conchucos			PE	P	Pueblo	-8.268100	-77.853100		1786	1789	indias:6001033	Tiene el mismo nombre otro Pueblo, como va dicho, de esta misma Provincia, anexo al Curato de Pallasca .	
id_04466	Conchucos			PE	H	Rio	-9.477200	-77.110900		1786	1789		Un Río de la Provincia y Corregimiento de su nombre en el Perú , que nace en la Cordillera: corre al S, y entra en el Marañon cerca del Pueblo de Uchos en la Provincia de Andahuailas .	geo:sfWithin
id_04466a	Concon			CL	P	Puerto	-31.597600	-71.415100		1786	1789		Puerto, de la Costa del Reyno de Chile en la mar del Sur , y Provincia y Corregimiento de Quillota .	geo:sfWithin
id_04467	Concord			US	P	Ciudad	43.950400	-70.802800		1786	1789		Ciudad de la Provincia y Colonia de la Nueva Inglaterra en la América Septentrional .	geo:sfWithin
id_04468	Concord			US	P	Pueblo	42.466800	-71.241200		1786	1789		Tiene el mismo nombre un Pueblo de los Ingleses en la Provincia y Colonia de Masachusets .	geo:sfWithin
id_04469	Concord			US	P	Pueblo	40.312500	-74.446100		1786	1789		Otro de la Provincia y Colonia de Pensilvánia , y Condado de Filadelfia , situado a orilla del río Brandwyne .	geo:sfWithin
id_04470	Condache			PE	H	Rio	-3.991500	-72.557700		1786	1789		Río de la Provincia y Gobierno de Quixos en el Reyno de Quito : corre al NE y atravesando el camino real que va de Baeza a Archidona entra en el río Coquindo por su parte austral en 37 min. de lat.	geo:sfWithin
id_04472	Conde			US	H	Rio	39.481400	-87.318900		1786	1789		Un río pequeño de la Provincia y País de los Indios Iroqueses en la Nueva Francia o Canadá: corre al N y entra en el Lago Ontario .	geo:sfWithin
id_04474	Condebamba			PE	T	Valle	-6.881500	-79.082600		1786	1789	indias:6001338	Valle grande y hermoso de la provincia y Corregimiento de Huamachuco en el Perú , célebre por su fertilidad.	
id_04475	Rio de los Condes			CL	H	Rio	-33.223900	-70.997000		1786	1789		en el estrecho de Magallanes , sale al mar frente de la Isla de Santa Ana .	geo:sfWithin
id_04476	Condesa			CO	P	Pueblo	10.071000	-75.491000		1786	1789		Pueblo de la Provincia y Gobierno de Cartagena , situado cerca de la Costa en la embocadura del Dique, que comunica el mar con el río grande de la Magdalena .	
id_04477	Condesuios de Arequipa			PE	A	Provincia	-15.465700	-72.563200		1786	1789	indias:JUPEARCS	Provincia y Corregimiento del Perú: confina por él N con la de Parinacochas : por el NE con la de Chumbivilcas : por el SE con la de Canes y Canches , y por el S con la de Collahuas : es de temperamento generalmente frío aun en los Pueblos menos altos de la Cordillera, de terreno quebrado y muy malos caminos;....	crm:P189_approximates
id_04478	Condiras			BR	H	Brazo	-3.952200	-54.339800		1786	1789		Brazo del río Jamunda en el País de las Amazonas y parte que poseen los Portugueses, que sale de la laguna Maripata y entra en el Marañon .	geo:sfWithin
id_04479	Condocondo			BO	P	Pueblo	-19.043500	-66.745400		1786	1789	indias:8000055	Pueblo de la Provincia y Corregimiento de Paria en el Perú .	
id_04481	Condorguasi			AR	P	Pueblo	-22.540000	-65.697600		1786	1789		Pueblo de la Provincia y Gobierno del Tucumán en el Perú , perteneciente a la jurisdicción de Jujui , situado a orilla del río Laquiaca .	geo:sfWithin
id_04482	Condoroma			PE	P	Pueblo Asiento de Minas	-15.300500	-71.138000		1786	1789	indias:6000377	Pueblo y asiento de minas de Plata de la Provincia de Canes y Canches o Tinta en el Perú donde se experimenta la singularidad de qué en las tempestades de truenos y relámpagos se sienten en la cara y manos unas picadas que llaman moscas, sin que se vea alguno de estos insectos: se atribuye a efecto del ayre que se halla entonces muy electrizado, porque igualmente se observa en los puños de bastones, evillas, galones y demás alhajas de metal que se acaban así que cesa la tempestad, lo qual es una...	
id_04483	Condoroma			PE	P	Pueblo	-16.039500	-69.499700		1786	1789		Tiene el mismo nombre otro Pueblo de la Provin cia y Gobierno de Chucuito en el mismo Reyno, situado a orilla de la laguna.	geo:sfWithin
id_04484	Conduite			US	H	Rio	39.481500	-87.318800		1786	1789		Río pequeño de la Provincia y País de los Indios Iroqueses: corre al O haciendo un arco, y entra en el Lago Oswego .	geo:sfWithin
id_04485	Conedaguanet			US	H	Rio	40.439400	-75.860500		1786	1789		Río pequeño de la Provincia y Colonia de Pensilvania y Condado de Cumberland : corre al E y entra en el de Susquihanna .	geo:sfWithin
id_04486	Conega			US	T	Islote	39.481500	-87.318800		1786	1789		Islote pequeño de la Costa del S de la Isla de Terranova , entra la de Desespoir o Desesperación y el Puerto Bartran .	geo:sfWithin
id_04487	Coneghta			US	H	Rio	33.107400	-79.918000		1786	1789		Río pequeño de la Carolina Meridional : nace en el territorio de los Indios Tuscaroras: corre al SE y entra en el de Neus .	geo:sfWithin
id_04488	Conegogee			US	H	Rio	39.556200	-76.794800		1786	1789		Río pequeño de la Provincia y Colonia de Mariland : corre al S y entra en el Potowmack .	geo:sfWithin
