entry_id	volume	entrytype	majortype	form_lemma	sense_text
id_01682	1	Toponym	settlement	BARBACOAS	Ciudad de la Provincia y Gobierno de Esmeraldas , en el Reyno de Quito , situada entre los Ríos de Pati y de Guaxi , cerca de la Costa del mar del Sur : llámase también Nuestra Señora del Puerto del Nuevo Toledo, en un terreno cálido y muy húmedo; las casas, aunque de madera y de unas cañas que llaman Guaduas, cubiertas de ojas grandes y secas en lugar de tejas, son muy cómodas y de buena construcción: sus habitantes son dóciles, amables y corteses, y de un genio singular: hay en ella muchas familias ilustres que tienen ricas minas de oro, trabajadas por negros esclavos; es de la mejor calidad, y se lleva a acuñar a la casa de moneda de Popayán : los víveres y ropas para vestirse, son muy caros, porque se llevan de Pasto , Popayán , Villa de Ibarra y de Quito . Se gobierna por un Teniente de Gobernador y dos Alcaldes, que se eligen cada año: hay en ella un Oficial Real, y un Comisario de la Inquisición: y en lo Eclesiástico por un Vicario, que pertenece al Obispado de Quito ; el primero que entró en estas montañas a convertir la nación de los Barbacoas, de que han quedado muy pocos, fue el Padre Lucas de la Cueva, de la extinguida Compañía, el año de 1640; tiene 4 Pueblos dependientes de ella, y está entre el río Huachi al O, y el de Telembi al NE, en 1 grado, 44 min. de lat. aust.
id_01683	1	Toponym	settlement		Tiene el mismo nombre un Pueblo de la Provincia y Gobierno de Venezuela , situado al S de la Ciudad de Caroa , a la cabecera del río Tucuyo .
id_01684	1	Toponym	natural_feature		Una ensenada de la costa del N de la Isla de Santo Domingo , formada por el cabo del Francés Viejo , y el de Samaná , es muy grande y capaz.
id_01685	1	Toponym	settlement		Otro Pueblo de la Provincia y Gobierno de Venezuela , a la orilla de la laguna de Maracaibo .
id_01686	1	Toponym	natural_feature	BARBADA	Isla de la mar del N , una de las Antilles menores , situada al N de la de San Vicente , y al S de la Martinica ; tiene 8 leguas de largo y 5 de anchó, y es de la figura de un óvalo. La descubrió el Caballero Guillermo Curteen, Inglés, el año de 1625, en el reynado de Jocobo I. de Inglaterra , que volvía de Pernambuco , en el Brasil , y fue arrojado allí por una tempestad, y baxando a reconocerla hallaron que estaba tan excesivamente llena de Bosques; no creyeron que en ella hubiese llano, ni campaña, y desierta sin apariencias de haber estado poblada, ni aun de Salvages, no tenía pastos, frutos, ni yerba; pero como el clima es bueno y el terreno demostraba ser fértil, se establecieron allí algunos Ingleses de poco caudal, que además del sumo trabajo, para desmontarla padecieron extraordinarias necesidades y fatigas en cortar los disformes árboles que tenía; por lo qual las primeras producciones fueron muy pocas, sin que por esto abandonase la empresa de aquel nuevo establecimiento el noble valor de sus primeros Colonos, a quienes siguieron otros huyendo de las revoluciones de Inglaterra ; con cuyas noticias la concedió el Rey en propiedad a su favorito el Conde de Carlisle, y se fue aumentando y poblando, de modo, que 20 años después, el de 1650, tenía 50.000 habitantes Blancos y mayor número de Negros esclavos: el Rey creó 13 varones en esta Colonia, que el año de 1676 tenía más de 100.000 Negros, empleando más de 400 embarcaciones de 50 a 100 Toneladas, en su comercio de azúcar riquísima añil, algodón, gengibre y otros frutos: el aumento de las otras Islas y Colonias inglesas hizo declinar el extraordinario auge de esta, a que se agregó un terrible contagio que padeció el año de 1692 y continuó por algunos años: es muy fuerte por naturaleza, rodeada toda de rocas, que la hacen inaccesible por barlovento: a sotavento tiene muy buenas ensenadas, y toda la costa defendida por una línea de fortines: el País tiene la más hermosa vista, alternando los valles y las montañas, cultivado en todas partes lleno de plantaciones de cañas de azúcar, naranjas, limones, cidras, limas, guavas, papas, aloes y otras muchas frutas deliciosas, a que acompañan las casas dispersas y las habitaciones: uno de los principales ramos de comercio es el aguardiente rom, que se estima por el mejor: abunda mucho de pescado y aves: tiene muchas cuevas o cabernas, algunas tan profundas, que pueden contener 500 hombres, y sirven de asilo a los Negros fugitivos de sus amos: el temperamento es muy cálido, especialmente en los ocho meses de verano, y el calor sería intolerable, sino fuese por el viento briza, que empieza al salir el sol, y dura mientras está este so bre el Horizonte; solo tiene un río llamado Tuigh , cuya agua está cubierta de un licor como aceyte, de que se Sirven para las lámparas: se divide la isla en 11 Bailiages, que contienen 14 Iglesias y Capillas: la Capital es la Ciudad de San Miguel : long. 318 40, lat. 13 20.
id_01687	1	Toponym	settlement	BARBARA	Pueblo de Indios de las Misiones que tiene la Religión de Santo Domingo, en la jurisdicción de la Villa de San Cristóbal , en el Nuevo Reyno de Granada : tendrá 100 Indios: es de temperamento cálido, y está a la orilla del río Apure .
id_01688	1	Toponym	settlement		Tiene el mismo nombre otro Pueblo de la Alcaldía mayor de Coautitlán , en Nueva España , anexo del Curato de su Capital: tiene 218 familias de Indios, y está poco más de un quarto de legua de aquel.
id_01689	1	Toponym	settlement		Otro de la cabecera de Tenalzingo , y Alcaldía mayor de Marinalco , en el mismo Reyno; es de temperamento frío y húmedo, habitado de nueve familias de Españoles y Mestizos y 69 de Indios, dedicados a hacer pulque, sembrar algunas semillas y frutas de aquella región: tiene inmediata una hacienda, en que viven 10 familias de Españoles y 13 de Indios; dista poco más de dos leguas al Poniente de su cabecera.
id_01690	1	Toponym	settlement		Otro de la cabecera de Ahuacatlán y Alcaldía mayor de Zacatlán , en el mismo Reyno, está una legua de su cabecera.
id_01691	1	Toponym	settlement		Otro de la cabecera y Alcaldía mayor de Cholula , en el mismo Reyno; tiene 36 familias de Indios y está un quarto de legua al N de su Capital.
