id	title	title_source	title_uri	ccodes	fclasses	types	lat	lon	geowkt	start	end	links	description	approximation
id_17792	Xiutopantla			MX	P	Pueblo	17.711400	-98.841900		1786	1789	indias:1000843	Pueblo de la Cabeza de partido de Atengo y Alcaldía mayor de Chilapa en Nueva España , distante 2 leguas al O de su cabecera.	
id_00995	San Juan Bautista de Apaceo			MX	P	Pueblo Cabecera	20.545800	-100.686900		1786	1789	indias:1000649	Pueblo y Cabecera de Partido de la Alcaldía mayor de Zelaya , en la Provincia y Obispado de Mechoacán ; tiene 1.325 familias de Indios, y 200 de Españoles, Mestizos y Mulatos , y un Convento de Religiosos de San Francisco: el territorio de su_ jurisdicción es muy fértil y ameno, así logra abundantes cosechas de frutos y delicadas frutas en la Huerta, especialmente las ubas que son muy estimadas por su delicadeza; dista 4 leguas al E de su Cabecera.	
id_10120	Mencopa			AR	P	Pueblo	-27.027200	-65.195900		1786	1789	indias:9000601	Pueblo de la Provincia y Gobierno del Tucumán en el Perú , del distrito y jurisdicción de la Capital , situado al SSE de ella.	
id_16181	Texocotla			MX	P	Pueblo	17.533800	-98.913100		1786	1789		Pueblo de la Cabeza de partido de Atlistac y Alcaldía mayor de Tlapa en Nueva España , tiene 24 familias de Indios.	
id_12588	Pedregal			VE	P	Pueblo	11.021700	-70.120800		1786	1789	indias:4000088	Otro Pueblo hay del mismo nombre en la Provincia y Gobierno de Venezuela del propio Reyno que el anterior, situado al S, 1/4 al O de la Ciudad de Coro , entre los ríos Seco y Tamayo .	
id_17147	Urcusa			PE	P	Pueblo	-14.480600	-74.633400		1786	1789	indias:6000513	Pueblo de la Provincia y Corregimiento de Lucanas en el Perú , anexo al Curato del de Otoca .	
id_09147	San Lucas			MX	P	Pueblo	18.588300	-100.787200		1786	1789	indias:1001999	Otro de la Cabecera y Alcaldía mayor de Guimeo en el mismo Reyno tiene 72 familias de Indios, y es anexo al Curato de Pungaravato .	
id_16010	Teotepec			MX	P	Pueblo Cabecera	20.283600	-103.429400		1786	1789	indias:1000551	Pueblo y Cabeza de partido de la Alcaldía mayor de Zayula en Nueva España , es de templado temperamento y muy sano, tiene 50 familias de Mestizos y Mulatos y 200 de Indios que solo tratan en trigo y algún ganado mayor; a la parte de Oriente tiene la gran laguna o mar de Chapala y un Convento de Religiosos de San Francisco que es la Parroquia: dista 15 leguas entre N y Oriente de su Capital.	
id_13914	Ramadilla			CL	P	Pueblo	-28.140000	-69.765300		1786	1789	indias:7000075	Pueblo de la Provincia y Corregimiento de Copiapó en el Reyno de Chile , situado cerca de la Capital, y a la falda de un cerro o monte célebre llamado el Bramador .	
id_08388	San Juan Evangelista			MX	P	Pueblo	19.678400	-98.872000		1786	1789		Otro también con el aditamento de Evangelista en la Cabecera de partido y Alcaldía mayor de Teotihuacán en el mismo Reyno, distante un quarto de legua al Poniente de su Capital.	crm:P189_approximates
id_01691	Santa Barbara			MX	P	Pueblo	19.098300	-98.307200		1786	1789	indias:1003178	Otro de la cabecera y Alcaldía mayor de Cholula , en el mismo Reyno; tiene 36 familias de Indios y está un quarto de legua al N de su Capital.	
id_11324	Ogoro			PE	P	Pueblo	-12.336500	-74.724400		1786	1789	indias:6000686	Pueblo de la Provincia y Corregimiento de Guanta en el Perú , anexo al Curato de Colcabamba .	
id_01399	San Miguel de Atlatitla			MX	P	Pueblo Cabecera	19.027200	-98.780600		1786	1789	indias:1000742	Pueblo y Cabecera de Partido de la Alcaldía mayor de Chalco , en Nueva España : tiene 181 familias, y un Convento de Religiosos de Santo Domingo: está 5 leguas al S 1/4, al SO de su Capital.	
id_12714	Peñas			BO	P	Pueblo	-18.692300	-66.758400		1786	1789	indias:9900552	Pueblo de la Provincia y Corregimiento de Paria en el Perú , situado al E de la Capital.	
